City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
Ondjiva,AO,09-02-2018,-17.07,15.73,90.95,16,0,5.44
Songling,CN,09-02-2018,31.19,120.72,84.2,89,0,4.47
Upernavik,GL,09-02-2018,72.79,-56.15,36.95,100,0,10.69
Roshni-Chu,RU,09-02-2018,43.09,45.45,73.4,80,64,1.74
Ouesso,CG,09-02-2018,1.61,16.05,78.35,84,88,3.09
Itanhandu,BR,09-02-2018,-22.3,-44.93,80.6,47,0,9.17
Deputatskiy,RU,09-02-2018,69.3,139.9,30.38,88,56,2.53
Berestechko,UA,09-02-2018,50.36,25.12,80.33,35,0,8.12
Sisimiut,GL,09-02-2018,66.94,-53.67,39.56,83,92,2.64
Ikom,NG,09-02-2018,5.96,8.72,76.64,98,88,0.96
Simpang,MY,09-02-2018,4.82,100.71,82.4,83,75,2.24
Great Bend,US,09-02-2018,38.36,-98.78,69.08,96,90,3.36
Nanakuli,US,09-02-2018,21.39,-158.15,75.92,93,90,11.59
Tallahassee,US,09-02-2018,30.44,-84.28,78.8,88,1,5.82
Bon Air,US,09-02-2018,37.52,-77.56,76.82,88,20,3.36
Olgina,RU,09-02-2018,59.39,28.13,67.28,77,24,2.75
Linjiang,CN,09-02-2018,41.81,126.91,62.06,81,100,7.45
Lerwick,GB,09-02-2018,60.15,-1.15,66.2,68,0,17.22
Leningradskiy,RU,09-02-2018,69.38,178.42,39.2,98,88,2.75
Newala,TZ,09-02-2018,-10.94,39.28,82.31,38,0,10.25
Puerto Madero,AR,09-02-2018,-34.61,-58.36,55.4,71,0,13.87
Liuzhou,CN,09-02-2018,24.32,109.41,74.21,96,64,2.98
Cuamba,MZ,09-02-2018,-14.8,36.54,82.85,28,88,4.43
Patterson,US,09-02-2018,29.69,-91.3,75.2,100,90,4.7
Lasa,CY,09-02-2018,34.92,32.53,87.8,79,20,11.41
Calbuco,CL,09-02-2018,-41.77,-73.13,44.6,93,75,8.01
Vidim,CZ,09-02-2018,50.47,14.53,66.2,77,75,7.11
Okhotsk,RU,09-02-2018,59.36,143.24,50.99,100,0,5.99
Zhezkazgan,KZ,09-02-2018,47.8,67.71,59.0,28,40,13.42
Kizukuri,JP,09-02-2018,40.81,140.39,64.67,100,76,4.21
Pittsfield,US,09-02-2018,39.61,-90.81,78.08,87,40,5.82
Guarapari,BR,09-02-2018,-20.67,-40.5,76.91,84,12,17.85
Husavik,CA,09-02-2018,50.56,-96.99,62.6,66,0,12.48
Kapaa,US,09-02-2018,22.08,-159.32,73.94,90,75,9.17
Takaka,NZ,09-02-2018,-40.86,172.81,48.65,100,36,14.27
Agua Verde,MX,09-02-2018,22.89,-105.97,75.2,100,75,3.36
Porto Velho,BR,09-02-2018,-8.75,-63.87,82.4,74,0,2.24
Damietta,EG,09-02-2018,31.42,31.81,86.45,66,0,13.27
Hobyo,SO,09-02-2018,5.35,48.53,79.52,65,0,21.65
Cabinda,AO,09-02-2018,-5.56,12.19,78.8,69,20,8.05
New Glasgow,CA,09-02-2018,45.59,-62.65,69.35,79,8,6.22
Sungaipenuh,ID,09-02-2018,-2.08,101.38,66.65,92,88,1.63
Akot,IN,09-02-2018,21.09,77.05,72.77,98,92,11.14
Gympie,AU,09-02-2018,-26.2,152.66,52.7,81,0,3.2
Japura,ID,09-02-2018,-0.42,102.29,78.35,75,24,1.97
Abashiri,JP,09-02-2018,44.01,144.25,52.7,92,44,2.53
Zalantun,CN,09-02-2018,48.0,122.72,62.96,99,92,7.23
Ayan,TR,09-02-2018,40.67,33.6,79.43,27,0,3.65
Portree,GB,09-02-2018,57.41,-6.19,58.82,94,92,20.76
Avarua,CK,09-02-2018,-21.21,-159.78,73.4,78,75,14.99
Mariental,DE,09-02-2018,52.28,10.99,69.8,49,0,9.17
Novopokrovka,RU,09-02-2018,45.85,134.51,61.97,65,92,5.21
Salta,AR,09-02-2018,-24.79,-65.41,50.0,57,0,3.36
Santa Isabel do Rio Negro,BR,09-02-2018,-0.41,-65.02,83.39,82,48,5.1
Zhaoyuan,CN,09-02-2018,45.52,125.08,66.2,94,92,20.65
Nabire,ID,09-02-2018,-3.36,135.5,65.75,94,20,2.08
Limbang,BN,09-02-2018,4.75,115.01,78.8,88,75,5.82
Qandala,SO,09-02-2018,11.47,49.87,87.98,53,12,2.64
San Jose El Idolo,GT,09-02-2018,14.45,-91.42,73.4,100,90,6.93
Pontivy,FR,09-02-2018,48.06,-2.97,78.8,39,0,8.05
Pushkino,RU,09-02-2018,56.01,37.85,77.0,38,0,6.71
Roebourne,AU,09-02-2018,-20.77,117.15,62.78,45,0,7.45
Cumbum,IN,09-02-2018,15.58,79.11,85.91,53,44,8.68
Kudat,MY,09-02-2018,6.89,116.84,80.6,83,75,9.17
Redwater,CA,09-02-2018,53.95,-113.11,46.94,76,0,9.01
Puno,PE,09-02-2018,-15.84,-70.03,35.6,22,0,3.36
Vadso,NO,09-02-2018,70.07,29.75,64.4,45,0,25.28
Lasa,CY,09-02-2018,34.92,32.53,87.8,79,20,11.41
Sebastian,US,09-02-2018,27.82,-80.47,84.92,81,75,3.36
Odda,NO,09-02-2018,60.07,6.55,53.42,69,68,2.19
Trat,TH,09-02-2018,12.25,102.51,78.62,100,76,1.97
Fenyi,CN,09-02-2018,27.82,114.69,76.91,97,48,2.64
Ibra,OM,09-02-2018,22.69,58.55,85.46,35,12,2.53
Port Blair,IN,09-02-2018,11.67,92.75,81.86,99,80,16.73
Carnarvon,ZA,09-02-2018,-30.97,22.13,44.6,71,36,16.84
Vaini,IN,09-02-2018,15.34,74.49,68.18,99,92,4.54
Beira,ES,09-02-2018,43.2,-8.36,89.6,49,0,6.93
Acajutla,SV,09-02-2018,13.59,-89.83,73.4,100,75,2.24
Puerto Ayacucho,CO,09-02-2018,5.66,-67.63,80.6,83,40,10.29
Cap Malheureux,MU,09-02-2018,-19.98,57.61,71.6,78,75,18.34
Zajecar,RS,09-02-2018,43.9,22.28,88.25,25,20,10.02
Teguldet,RU,09-02-2018,57.31,88.17,59.81,68,36,6.22
Empangeni,ZA,09-02-2018,-28.75,31.9,80.87,48,20,14.5
Madang,PG,09-02-2018,-5.21,145.81,71.78,100,88,4.76
Sugar Hill,US,09-02-2018,34.11,-84.03,78.8,84,75,4.7
Port Arthur,US,09-02-2018,29.9,-93.93,78.08,99,90,9.17
Agadez,NE,09-02-2018,16.97,7.99,95.0,41,0,9.17
Leua,AO,09-02-2018,-11.65,20.45,88.7,19,0,3.42
Inverell,AU,09-02-2018,-29.78,151.11,37.76,86,20,5.66
Pochutla,MX,09-02-2018,15.74,-96.47,75.2,69,75,10.29
Chumikan,RU,09-02-2018,54.72,135.31,54.05,98,92,3.65
Ennis,IE,09-02-2018,52.84,-8.98,64.4,100,75,9.17
Aykhal,RU,09-02-2018,65.95,111.51,39.11,87,88,3.76
Diffa,NE,09-02-2018,13.32,12.61,85.82,73,92,4.54
Peleduy,RU,09-02-2018,59.63,112.75,38.75,78,0,3.98
Tezu,IN,09-02-2018,27.93,96.16,67.46,99,88,1.19
Vagur,FO,09-02-2018,61.47,-6.81,53.51,94,80,27.25
San,ML,09-02-2018,13.3,-4.9,78.53,100,76,1.19
Domodossola,IT,09-02-2018,46.12,8.29,71.6,66,90,1.74
Sisophon,KH,09-02-2018,13.59,102.97,74.3,97,88,1.52
Ituango,CO,09-02-2018,7.17,-75.76,71.33,91,24,1.52
Panzhihua,CN,09-02-2018,26.59,101.72,64.4,93,68,2.19
Mgandu,TZ,09-02-2018,-5.96,34.11,81.5,26,0,9.13
Dzhubga,RU,09-02-2018,44.32,38.7,80.96,56,20,2.75
Camabatela,AO,09-02-2018,-8.19,15.37,80.78,62,0,3.98
Jian,IN,09-02-2018,25.65,87.89,76.28,97,68,9.01
Balaghat,IN,09-02-2018,21.81,80.19,73.04,97,92,2.53
Pershotravneve,UA,09-02-2018,51.38,28.88,82.76,53,0,7.56
Katangli,RU,09-02-2018,51.71,143.23,53.6,98,88,5.1
Mastic Beach,US,09-02-2018,40.77,-72.85,73.04,78,20,5.82
Padang,ID,09-02-2018,-0.92,100.36,82.4,100,12,2.08
Kars,TR,09-02-2018,40.61,43.1,77.0,31,0,12.75
Malm,NO,09-02-2018,64.07,11.22,69.8,68,0,12.75
Pasni,PK,09-02-2018,25.26,63.48,80.33,94,0,17.07
Sorong,ID,09-02-2018,-0.86,131.25,79.88,100,68,12.59
Van,TR,09-02-2018,38.51,43.37,78.8,50,20,11.41
Mbarara,UG,09-02-2018,-0.61,30.65,72.14,77,36,6.67
Miandrivazo,MG,09-02-2018,-19.53,45.46,77.81,39,0,3.2
Herat,AF,09-02-2018,34.35,62.22,80.6,15,0,29.97
Polis,CY,09-02-2018,35.04,32.42,87.8,74,20,11.41
Villa Carlos Paz,AR,09-02-2018,-31.42,-64.5,51.8,62,0,3.36
Marsa Matruh,EG,09-02-2018,31.35,27.25,86.45,46,0,10.8
Aleksandrovsk-Sakhalinskiy,RU,09-02-2018,50.9,142.16,53.78,100,12,3.53
Kavaratti,IN,09-02-2018,10.57,72.64,82.85,96,32,11.25
